,current,min,max
beta.sp1,23.63,11.815,35.445
phi.sn1,0.22,0.11,0.33
phi.l1,0.21,0.105,0.315
phi.l3,1,0.5,1.5
phi.ps1,0.22,0.11,0.33
gamma.lf.ls1,0.5,0.25,0.75
gamma.rtx.ls1,0.2,0.1,0.3
gamma.tx.rtx1,2,1,3
rho.lf1,0.07,0.035,0.105
rho.lf3,0.7,0.35,1.05
rho.ls1,0.00049,0.000245,0.000735
rho.ls3,0.08,0.04,0.12
rho.rel1,0.02,0.01,0.03
rho.ps1,1.33,0.665,1.995
rho.ps3,10,5,15
pi.sp1,0.75,0.375,1
pi.sp3,0.4,0.2,0.6
pi.ep1,0.15,0.075,0.225
pi.ep3,0.4,0.2,0.6
mu.sp3,1.333,0.6665,1.9995
mu.sn3,1.333,0.6665,1.9995
mu.ep3,1.333,0.6665,1.9995
zeta.sp1,0.1,0.05,0.15
zeta.sp3,0,0,0.15
zeta.sn1,0.15,0.075,0.225
zeta.sn3,0,0,0.15
zeta.ep1,0.15,0.075,0.225
zeta.ep3,0,0,0.15
theta.sp1,1.941,0.9705,2.9115
theta.sn1,1.941,0.9705,2.9115
theta.ep1,1.941,0.9705,2.9115
foi.hiv1,0.0158,0.0079,0.0237
chi.elg2,0.238663484,0.119331742,0.357995226
chi.tx3,0.1902,0.0951,0.2853
mu.hiv2,0.008,0.004,0.012
mu.hiv3,0.13,0.065,0.195
mu.hiv4,0.0365,0.01825,0.05475
ART mulitplier1,0.7,0.35,1
tx.cost,1029,514.5,1543.5
tx.cost.mdr,4672,2336,7008
